Beta max,Beta min,Beta mean,Beta std d,Beta Var,Alpha max,Alpha min,Alpha mean,Alpha std d,Alpha Var,Theta max,Theta min,Theta mean,Theta std d,Theta Var,Delta max,Delta min,Delta mean,Delta std d,Delta Var,Number
85.45353516,178.3156478,594.3098977,1093.566714,5.63E-06,1.37E-05,1.03E-06,6.70E-06,1.15142429,1.742549492,4.865534618,5.043100118,6.590721877,15.2012993,44.89000553,60.15483074,43.43761486,231.0795005,2015.112597,3618.603661,0
31.7336673,22.99407491,269.2746678,2396.470399,0.00032231,6.55E-07,6.48E-06,0.000130634,0.423934348,0.137933834,1.801194463,12.3021962,2.484139169,1.389660571,17.94035875,144.512812,6.170947413,1.931156502,321.8564722,20883.95284,0
8.0395892,16.17778487,11.33760125,38.32342664,4.78E-09,3.27E-05,3.08E-07,0.000151683,0.113519835,0.094297437,0.083040304,0.208105373,0.61032886,0.98579207,0.845609214,2.417178942,0.372501317,0.971786005,0.715054944,5.842754037,0
8.042358804,18.78742416,18.33777898,12.62019302,5.06E-08,1.39E-05,2.37E-06,1.13E-06,0.139371836,0.11588057,0.11232943,0.046885489,0.712307714,1.112959864,1.15499075,0.615464187,0.50738228,1.238679659,1.334003633,0.378796165,0
1077.618965,1468.19739,2167.498926,2206.181793,0.00028561,0.000605384,1.57E-05,0.000264607,10.02930647,10.03976878,7.942514706,9.878590412,72.95997621,97.07216554,105.8009054,120.5112884,5323.158128,9423.005323,11193.83159,14522.97062,0
354.207056,200.6247842,3027.34475,4372.559612,0.000871626,8.57E-05,0.010567908,0.02068135,5.260120211,1.776486367,23.03723308,20.5887425,29.76718792,14.48724101,205.4033065,239.4164959,886.0854768,209.8801521,42190.51834,57320.25849,0
219.8964531,955.6433542,4704.507879,7091.022332,4.04E-05,0.000716394,0.000122929,0.000915383,2.664882571,6.043414889,19.9783395,21.73020674,16.34987648,57.35149273,242.7139518,324.3449674,267.3184609,3289.193719,58910.06237,105199.6579,0
24.42742612,66.19608155,79.18657264,759.8192109,3.10E-06,0.000116786,7.74E-06,6.45E-05,0.391029101,0.378308159,0.373254632,3.134270952,2.090887226,4.513480752,4.180631136,39.12739313,4.371809391,20.3715085,17.4776767,1530.952893,0
15.18935461,41.08886104,556.9569623,636.3105906,5.38E-05,1.56E-05,4.85E-05,9.84E-06,0.396317374,0.319176503,2.417018215,3.712611451,1.863429068,3.102907285,29.19826983,40.66003781,3.472367892,9.628033617,852.5389611,1653.238675,0
10.82785191,16.6777751,23.30559213,6.717420081,1.24E-06,5.79E-09,2.63E-08,1.44E-08,0.154205788,0.07162045,0.107634375,0.02263376,0.859719404,0.871554688,1.20835821,0.326067052,0.739117454,0.759607574,1.460129564,0.106319723,0
12.73213539,34.89941242,23.43013576,6.974284891,5.77E-07,5.70E-05,5.60E-06,2.06E-06,0.312459657,0.226809823,0.108285894,0.029769432,1.432096989,2.160388783,1.334744946,0.375474488,2.050901786,4.667279693,1.781544071,0.140981091,0
15.22723471,76.21354147,48.20104812,59.93437737,8.54E-06,4.77E-05,1.78E-06,3.60E-05,0.25766663,0.521233699,0.254188611,0.157841925,1.367615109,4.734356913,2.791443765,2.676964964,1.870371088,22.41413538,7.792158294,7.166141418,0
15.31763076,14.27807508,4.320693517,24.57650997,1.76E-06,4.73E-06,8.15E-07,7.04E-05,0.289473966,0.094249724,0.034256409,0.118151648,1.482320855,0.932246664,0.293594236,1.350540233,2.197275117,0.869083842,0.086197575,1.82395892,0
35.7649725,22.50133885,220.8931901,4350.038643,0.000310732,6.71E-06,7.62E-07,6.12E-05,0.578445807,0.133195854,0.955481174,19.85697679,3.169604898,1.229670748,11.20159769,255.4988025,10.04639521,1.512090149,125.4757909,65279.63806,0
214.9557276,117.2618312,422.0540904,1224.117054,4.42E-05,0.000185288,9.00E-05,2.24E-06,1.121719035,0.899480719,1.817750143,3.442708733,10.35851411,7.69990219,21.50016574,55.11898577,107.2988145,59.28849374,462.2571271,3038.102592,0
31.81805545,34.13629461,27.99548263,62.15562986,5.81E-07,1.71E-06,5.06E-05,9.38E-05,0.491132946,0.177966607,0.210990369,0.255144538,2.730618096,2.055242433,1.980782529,3.168682835,7.456275187,4.224021458,3.923499425,10.04055091,0
25.03811509,31.77101751,107.6760499,122.044485,7.95E-07,1.28E-06,2.45E-10,2.25E-05,0.401297541,0.221194979,0.712257214,0.555195686,2.092239935,2.10111122,6.838258066,7.598507532,4.377467945,4.414668361,46.76177338,57.73731671,0
19.75076408,90.60013555,380.0809687,438.5784828,2.26E-06,1.31E-06,3.38E-06,6.97E-06,0.319276339,0.568437234,1.450960481,2.116433612,1.68631723,5.702404937,17.9631126,25.43905525,2.8436658,32.51742206,322.6734143,647.1455323,0
7.256436964,18.99840321,8.299116621,21.60548707,0.000122371,2.87E-07,4.43E-06,0.000145688,0.18855814,0.077324754,0.051595783,0.121709399,0.921983278,0.954119595,0.527358809,1.293923825,0.850053166,0.910344201,0.278107314,1.674238865,0
11.91105128,13.40798917,10.76976273,22.0729625,2.05E-06,3.54E-06,5.55E-06,2.97E-07,0.163424983,0.095014262,0.078470718,0.082938012,0.837096867,0.900469769,0.74454416,1.159502783,0.700731165,0.810845804,0.554346007,1.344446704,0
13.71533123,17.58428338,29.87422954,24.60098477,1.37E-05,5.26E-08,2.03E-07,2.29E-06,0.2259259,0.100023837,0.139418727,0.136796707,1.262792526,1.072072962,1.584694755,1.702212828,1.594644965,1.149340436,2.511257465,2.897528511,0
10.09168553,14.39803227,11.27067436,48.99387716,7.98E-06,4.73E-06,2.67E-05,6.14E-05,0.160804652,0.06248955,0.083225397,0.263789219,0.840325307,0.743494937,0.722005768,3.094605091,0.706146621,0.552784722,0.521292328,9.576580667,0
12.61965986,21.70408406,15.32693659,74.55781905,1.41E-06,5.85E-06,3.82E-07,0.00045517,0.197409409,0.175470238,0.079990851,0.467100992,1.01354434,1.676286551,0.901241588,4.717663301,1.027272129,2.8099366,0.8122364,22.25634703,0
