eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
81,51,43,308195,16757107,24025,8095,5615,15352,27920,5778,1
41,41,69,8961,3790,16751304,2155,1582,6940,1812,3082,1
53,34,77,4267,1669,16745472,6949,9901,8491,3758,3641,1
20,57,91,8988,11013,8079,3073,3304,5972,689,2439,1
26,74,87,5194,5143,4084,3077,2722,11498,5728,1260,1
22,74,78,6654,8337,13784,9633,751,5486,5293,5808,1
12,80,64,22808,15347,12008,2823,2918,12518,3779,3852,1
38,83,63,6900,9581,6138,3440,3309,6766,2397,1368,1
51,83,56,3065,5856,315,3099,3871,9199,4663,3747,1
13,88,47,5004,13135,9867,4416,4882,7440,1764,3221,1
16,84,41,3223,15943,3111,4027,2164,6519,3911,1996,1
36,78,47,4181,11741,12495,2017,2488,4987,2733,1712,1
81,74,47,6536,18516,2564,4003,1840,15104,6641,5685,1
10,80,43,21141,7750,4267,7003,9198,10186,8237,1532,1
37,78,51,5377,8395,7487,4710,3264,4684,2133,1753,1
29,83,44,4562,11654,3832,5926,4327,6993,4854,11512,1
56,70,69,8644,3200,24219,8351,5289,6171,7924,4029,1
38,69,74,5330,4523,4114,10655,12577,8339,2182,3524,1
57,74,78,2986,4296,9413,4093,2353,5669,3149,3739,1
-270,80,75,6803,6953,3476,1769,4249,8519,6605,1587,1
32,96,44,2992,7378,1074,1484,4028,10986,1568,1672,1
32,1,35,208162,213793,39079,30200,19841,10389,2139,4687,2
-308,11,48,453949,16749321,7707,18380,18505,7773,8079,2210,2
40,21,53,16394,18304,24256,6128,2607,8674,6078,3462,2
-260,51,66,14484,3593,1386,11139,4876,6266,3618,1619,2
-289,75,64,4894,2527,4286,2791,6010,5589,7689,2902,2
-270,88,64,12122,9693,5376,2650,2495,10508,7359,1530,2
51,88,57,5513,13995,9133,5343,7653,6128,5408,543,2
-257,88,56,5453,3771,3790,3923,1906,4077,7020,2716,2
-274,74,57,244018,16762266,30290,9775,5363,6662,9621,2579,2
50,66,77,1604,2775,18702,12890,4970,8078,3229,2748,2
51,69,81,7602,8789,15622,3817,3794,8198,1633,2641,2
4,66,78,3482,7105,11354,1679,9755,5098,2469,1596,2
6,74,83,2263,14144,18140,4181,4036,6517,2566,1396,2
18,67,67,6747,10906,2537,4951,6190,2615,3671,4861,2
34,74,66,12395,3600,10293,3284,4569,9128,3193,2049,2
89,77,67,5161,5068,7256,4915,2209,8010,3339,2760,2
52,87,60,8465,3437,1358,2911,2036,4482,3883,2140,2
39,87,61,5519,17323,8231,2968,1504,3839,3370,1875,2
-274,75,63,1861,14175,5615,11293,3450,4249,4335,1307,2
23,74,67,4929,2492,7823,7230,3168,5865,3586,2083,2
72,69,75,6785,4664,7211,3509,1864,6960,8449,1466,2
72,77,81,3193,3551,9028,5176,3681,5030,7424,3695,2
34,81,81,1385,5887,9145,986,3578,4089,2737,2585,2
9,78,67,1882,18386,5461,5215,2343,5737,5335,1862,2
35,78,57,2581,5109,282,4658,6963,4695,2471,2342,2
12,77,60,2241,3292,3357,11622,3994,5009,3970,1119,2
36,74,60,826,9504,4446,8265,2088,3188,1132,2026,2
-282,77,51,5744,13628,1802,1415,4983,5646,2431,1015,2
19,78,48,16746464,14052,4589,191,1963,10216,4925,2547,2
57,88,37,24495,5521,951,5979,3140,10811,4794,1269,2
39,100,27,5447,2372,5199,2341,8097,8254,5113,1487,2
38,100,44,2374,4473,10405,2731,3646,8150,4354,1092,2
4,96,64,5186,4572,14437,8373,6005,4608,2286,2893,2
73,83,60,117771,16752514,10712,5474,16140,8625,2350,1750,2
40,70,66,10065,6307,1859,6134,3252,2972,3033,2049,2
45,63,60,11173,11378,5385,1329,2718,3548,1480,964,2
-108,67,53,21202,9800,6392,12007,9371,8104,3906,3233,2
-51,53,37,304864,110912,3962,4922,6179,3833,7330,3087,2
33,51,30,545765,95546,16753403,8443,15871,27996,14391,3442,2
66,51,38,69186,16746938,30104,7701,5452,12998,4727,3702,2
11,40,29,1813669,109695,5489,16770101,22465,18227,10323,3840,2
3,56,47,1187,26964,4690,4847,5130,6322,2628,4322,2
49,63,54,5272,6811,13889,3093,3908,9417,4226,2250,2
